Ensembl.Gene.ID	brain_GSM752569	brain_GSM752570	cerebellum_GSM752571	cerebellum_GSM752572	heart_GSM752573	heart_GSM752575	adult mammalian kidney_GSM752576	adult mammalian kidney_GSM752578	liver_GSM752580	liver_GSM752581	testis_GSM752583	testis_GSM752585
ENSOANG00000011862	11.34173	13.73336	20.54649	10.72178	8.32049	14.93655	9.63374	14.78983	9.95123	8.60717	37.59237	25.15348
ENSOANG00000011863	20.41871	22.78848	18.38273	24.78565	23.66685	28.53602	0.42859	0.37292	0.03242	0	7.41814	7.10223
ENSOANG00000011864	0.07537	0.44987	0	0	0	0	0	0	0.4988	0	12.98726	12.33322
ENSOANG00000011865	1.74915	2.82779	3.10667	2.02829	61.78107	68.62375	0.84977	0	0	0	16.54242	14.72986
ENSOANG00000011866	2.64257	4.38704	4.40008	2.6047	2.73042	2.21233	2.50323	2.90357	0.91822	1.94357	2.22159	1.32927
ENSOANG00000011867	0	0	0	0	0	0	0	0	0	0	1.47165	0.93924
ENSOANG00000011868	18.99396	29.77131	25.84682	18.90876	8.65141	6.86372	18.32077	11.31837	2.80357	0.91883	13.21003	13.62513
ENSOANG00000011869	3.40779	6.48124	12.46073	18.18238	3.01611	0.9214	2.40199	1.50593	2.29957	2.80828	19.47227	13.0861
ENSOANG00000011870	2.41385	5.85338	2.11007	3.0323	18.97059	6.3893	3.73765	4.20788	0.79873	1.90212	2.5363	3.77756
ENSOANG00000011871	92.10375	142.18082	156.24043	161.75988	5.79436	2.24202	5.49998	2.98721	1.2291	1.61126	23.03879	22.15157
ENSOANG00000011872	3.48873	12.91872	6.88455	4.7946	0.68174	0	0.37653	0.43689	0	0	0	0
ENSOANG00000011873	0	0	0	0	0	0	0	0	0	0	0	0.09502
ENSOANG00000011874	13.49459	11.84551	12.68847	5.89108	3.90891	4.37819	2.31364	3.22041	1.89131	0.26689	15.34795	11.07392
ENSOANG00000011875	6.4	5.6507	4.33363	5.03006	1.3132	0.6303	2.64266	4.41753	7.83611	3.40706	89.89226	57.80523
ENSOANG00000011876	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011877	0	0.30219	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011879	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011880	11.24974	17.23289	10.37772	8.30376	0.01945	0	0	0.01869	0	0.13	0	0.00989
ENSOANG00000011881	4.01948	5.6886	15.82067	12.22874	6.33923	3.47357	6.95359	4.69033	1.64766	2.09258	12.97072	12.56911
