Ensembl.Gene.ID	prefrontal cortex_GSM752664	prefrontal cortex_GSM752665	prefrontal cortex_GSM752666	prefrontal cortex_GSM752667	prefrontal cortex_GSM752668	prefrontal cortex_GSM752669	cerebellum_GSM752670	cerebellum_GSM752671	heart_GSM752672	heart_GSM752673	adult mammalian kidney_GSM752674	adult mammalian kidney_GSM752675	liver_GSM752676	liver_GSM752677	testis_GSM752678
ENSPTRG00000015918	0.07126	0	0	0	0	0	0.03614	0	0	0	18.50543	6.13778	0	0.07683	0.16062
ENSPTRG00000015919	2.19572	3.9648	2.03059	2.04283	2.78303	3.2254	7.49973	18.05213	0.11285	0.17207	18.10328	1.83219	0.16088	0	0.33992
ENSPTRG00000015920	11.48651	7.62857	14.57943	14.49393	14.86265	17.29294	10.20747	14.28563	5.3399	9.40761	8.13308	10.04283	3.63213	3.52201	43.97218
ENSPTRG00000015922	14.07871	7.86443	6.7907	9.16459	13.84936	9.16514	24.0124	19.8082	6.79393	7.23492	16.58892	6.76853	6.57318	3.44282	11.80856
ENSPTRG00000015924	8.40234	2.66062	7.56776	8.23453	6.54339	7.14991	4.36544	4.87662	3.42349	2.69333	9.80042	8.21559	3.46781	4.12771	25.73265
ENSPTRG00000015925	0.10377	0.25362	0.50761	0.14272	0.16944	0.08214	0.08774	0.03229	0.31738	0.59929	0.70633	1.92547	0.11493	0.41026	0.39021
ENSPTRG00000015926	2.20947	0.95762	0.93889	1.23206	1.72535	1.2072	3.31618	2.06566	0.7304	1.52509	2.88422	4.69185	0.73151	0.67596	3.41223
ENSPTRG00000015927	26.22315	10.63933	19.57244	23.13384	26.28912	21.20853	32.03775	32.39942	26.40069	24.54852	38.09419	58.32284	13.7859	12.04146	51.28048
ENSPTRG00000015929	3.38594	1.55135	1.66352	2.18298	1.34728	2.76824	5.47326	2.07735	2.91189	2.96063	14.80439	31.59788	5.668	26.92105	1.27284
ENSPTRG00000015930	1.57014	0.86325	0.43881	1.58371	2.66563	2.7385	1.1148	0.88073	1.96618	0.60436	1.09455	0.79959	18.7344	3.15977	5.27279
ENSPTRG00000015931	0	0	0	0	0	0	0	0	0	0	0.396	0.28929	0	0	0
ENSPTRG00000015932	1.23851	0.53201	2.06876	2.18255	1.97118	1.74873	0.51032	0.61511	0.13524	2.35496	3.39165	16.71012	0.28931	1.00148	21.61968
ENSPTRG00000015933	7.07569	5.39285	9.98327	8.3751	9.62903	9.06144	7.38378	8.20538	4.01223	4.27582	5.52191	8.6246	4.0119	5.53793	9.69338
ENSPTRG00000015935	24.02244	25.00904	33.08114	25.7897	56.86027	29.99419	0.43994	0.68627	4.95542	11.20291	5.58198	12.98561	3.29746	5.82722	1.75587
ENSPTRG00000015936	199.4201	146.43474	216.3999	224.24438	121.07179	248.91615	117.07125	112.09569	29.82814	34.43026	58.42059	133.81722	35.27588	149.69612	8.73531
ENSPTRG00000015937	0	0	0.39803	1.04463	0.37195	0	0.09629	0	0	0	0	0	0	0	0
ENSPTRG00000015938	94.91564	21.2486	21.88134	20.51002	17.81865	18.0872	69.80178	17.56633	115.95088	49.24301	282.41365	116.18605	725.50362	180.78373	95.97076
ENSPTRG00000015939	19.03026	7.39816	5.1375	15.06998	7.90751	5.48593	18.27831	11.32199	9.95042	10.6293	12.2035	11.22226	8.02225	7.46052	12.57346
ENSPTRG00000015940	2.44186	1.93528	2.90511	2.67778	3.32887	3.06075	2.10858	1.88186	0.25949	0.43965	0.88725	1.66841	0.20553	0.10665	0.66985
ENSPTRG00000015941	7.06507	5.52445	5.72651	5.95999	6.91978	4.92878	13.99736	13.29853	3.20967	3.93286	7.45787	8.2921	1.87765	1.62487	6.37421
ENSPTRG00000015942	0.28568	0.08721	0.19967	0	0	0.11336	0.53125	0.71227	0.14562	0.10571	0.21337	0.15587	0.67233	0	6.58723
ENSPTRG00000015943	0.71263	0.25548	0.61702	0.25578	0.36414	0.51589	0.69134	1.01384	0.39247	0.49538	0.57077	0.94665	0.32163	0.26722	6.89519
ENSPTRG00000015945	4.6668	2.39898	4.05611	3.91371	3.34448	1.62422	4.50247	1.8091	2.63527	1.0111	6.46098	1.94593	1.84339	1.22708	31.57789
ENSPTRG00000015948	24.28233	9.88937	17.61966	10.84718	24.39296	9.8717	16.94557	35.50814	0.09066	0	0.10334	0.07549	0.08618	0.22375	0
ENSPTRG00000015949	5.59495	4.68655	3.77749	5.38178	4.404	3.75503	8.91245	7.89417	4.48321	7.04321	7.12693	9.13921	8.49515	17.61443	3.87094
ENSPTRG00000015954	5.58135	4.32296	1.39277	3.28994	8.19986	2.68647	6.36869	3.85153	6.79196	27.59299	18.99061	29.94539	1.40722	6.73367	4.79576
ENSPTRG00000015955	18.4625	14.7197	16.94547	15.70922	25.08098	20.09388	31.02489	49.00306	16.15275	21.88982	23.91716	31.51018	19.12352	16.47464	50.46506
ENSPTRG00000015956	8.89806	3.56139	3.96635	1.40681	0.60109	1.21612	6.95034	0.19125	53.61337	13.76394	203.29684	164.7328	134.16765	19.29643	7.84339
ENSPTRG00000015957	25.83622	14.09647	10.74886	9.71098	10.43095	10.78824	16.46306	15.82034	2.96364	3.10084	5.18505	4.01732	7.23986	2.72154	1.54215
ENSPTRG00000015958	3.02853	2.59475	3.01944	4.33479	4.0997	3.51345	8.9157	6.53771	0.2259	0.48115	0.19617	2.64212	0.08177	0.21229	0.40724
ENSPTRG00000015959	0.95346	0.39711	0.45421	0.59604	0.93385	0.20628	1.36271	0.64828	1.28732	0.462	5.48114	4.54008	4.53523	5.04613	7.29879
ENSPTRG00000015960	0.90564	0.73765	0.31646	0.69212	1.28131	1.19679	1.17377	1.41125	0.92312	0.62573	4.20894	5.41732	8.1904	7.7028	3.70726
ENSPTRG00000015962	0.95018	0.66576	1.87466	1.22991	1.86127	1.19642	2.29601	2.40376	0.75688	1.11709	1.92032	2.54139	1.46225	0.8436	3.52996
ENSPTRG00000015963	5.8875	5.23475	10.20293	10.74315	12.5033	7.48628	4.87766	6.43062	4.04868	4.06467	8.4462	6.67894	5.39797	3.33078	9.90464
