Ensembl.Gene.ID	prefrontal cortex_GSM752653	prefrontal cortex_GSM752654	cerebellum_GSM752655	cerebellum_GSM752656	heart_GSM752657	heart_GSM752658	adult mammalian kidney_GSM752659	adult mammalian kidney_GSM752660	liver_GSM752661	liver_GSM752662	testis_GSM752663
ENSGGOG00000011802	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000011803	14.48578	9.41747	15.35418	11.88157	8.3702	6.94854	31.97306	24.67262	15.66961	16.90687	52.503
ENSGGOG00000011804	2.28555	2.02829	5.31598	3.78664	0.91106	0.27974	0.65296	0.53379	0.3075	0.42443	19.61414
ENSGGOG00000011805	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000011806	0	0	0	0	0	0	0	0	0	0.06666	0.44484
ENSGGOG00000011807	9.38482	11.87839	8.00377	6.27131	2.81556	1.89552	9.08456	7.78979	9.68768	4.77803	4.8562
ENSGGOG00000011808	0	0.1166	0.46175	0	0	0.15554	0	0	0	0	39.85793
ENSGGOG00000011809	41.84876	21.64908	39.16014	26.70095	10.30098	5.35617	22.64612	24.10584	10.06058	13.95645	64.84583
ENSGGOG00000011810	14.99545	18.77875	23.49339	18.7725	10.4719	8.54098	28.26696	17.83904	19.22595	18.29872	27.12443
ENSGGOG00000011811	0.02345	0.03948	0.03125	0	0.13532	0.05264	0.03686	0.04635	0.02169	0.01843	0.16401
ENSGGOG00000011812	7.56204	7.70167	8.29512	9.10987	2.39996	1.75043	6.49025	7.47238	6.84348	11.43916	15.58309
ENSGGOG00000011813	0.0376	0.12655	0	0	0	0	0.11816	0	0	0	0.13144
ENSGGOG00000011814	1.56913	1.11953	0.81823	1.55415	0.21651	0.32535	4.7975	3.91001	1.04121	0.99163	19.29099
ENSGGOG00000011815	2.07786	1.74863	1.49097	1.01145	0.15367	0.11954	0.921	0.55281	1.10881	0.60699	46.94264
ENSGGOG00000011816	0.12366	0.1388	0.76913	0.54786	0	0.13876	0	0	0	0.03237	50.2342
ENSGGOG00000011817	3.30136	5.67556	5.34189	3.89466	7.31942	5.29201	16.2675	12.6759	4.92945	9.05979	13.85102
ENSGGOG00000011818	0	0	0.05635	0.16055	0	0	22.72175	13.24335	0.39107	1.09616	0.14785
ENSGGOG00000011819	9.7433	7.04579	22.02091	16.06753	0.29527	0.3487	2.18322	2.00505	2.02904	3.08791	13.58159
ENSGGOG00000011820	0.33536	0.75257	0.29796	0.35363	0.77394	0.54353	3.57182	1.69368	2.68831	1.1125	2.21471
ENSGGOG00000011821	0	0	0	0.14597	0	0	0.12083	0	0	0	0.13442
ENSGGOG00000011822	0.23645	0.18651	0.7482	0.43481	0.02557	0.04974	0.11613	0.11682	0.04785	0.11607	0.42619
ENSGGOG00000011823	0.0189	0.03181	0	0	0	0	0	0	0.0349	0.08899	0.62692
ENSGGOG00000011824	0.15956	0.16786	0.05318	0.26496	0.06903	0.04478	0.09401	0.05912	0	0	1.01103
ENSGGOG00000011825	8.24079	5.46056	1.19003	1.03003	9.11762	3.80538	6.4128	2.46865	5.68814	2.03389	11.26419
ENSGGOG00000011826	1.80966	2.36904	1.23251	2.59567	0.60325	0.49638	0.94792	0.87425	0.07439	0	4.64002
ENSGGOG00000011827	2.21512	1.30684	2.25186	1.95088	0.86957	0.76872	4.34218	4.46799	2.89381	2.96046	8.50338
ENSGGOG00000011828	0	0	0	0	0	0	0	0	0	0	0.16841
ENSGGOG00000011829	1.22969	1.18269	1.40455	2.66794	0.2027	0	1.65632	2.25663	1.13743	1.9323	0
ENSGGOG00000011830	2.32559	1.91363	2.47916	1.0792	0.53672	0.92785	3.6545	1.99162	1.09944	1.54291	7.85994
ENSGGOG00000011831	0.41361	0.49145	0.35666	0.97002	0	0	0	0.02405	0.04502	0	0.04255
ENSGGOG00000011832	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000011833	4.77076	6.12799	11.08356	6.61397	0.68812	0.52827	3.79777	1.67481	3.86126	3.94563	6.52945
ENSGGOG00000011834	9.35878	9.23324	11.02966	11.0561	2.86412	2.03741	12.70327	7.74942	5.4405	6.73079	13.69295
ENSGGOG00000011835	9.47422	12.28288	9.04223	4.13187	9.898	5.02815	5.63335	9.23532	8.88177	8.24848	7.38598
ENSGGOG00000011836	0.27751	0.04669	0.1849	0.31607	0.03201	0	0.13076	0.30163	0	0.02179	1.60075
ENSGGOG00000011837	0.10429	0.17553	0	0	0.08017	0.03898	0	0	0	0	0.48608
ENSGGOG00000011838	37.79457	39.26024	40.04369	77.29553	60.49282	114.40093	171.39747	228.0422	135.67443	160.84274	229.6274
ENSGGOG00000011839	2.60459	4.16092	4.96103	4.10645	0.35653	0.2477	0.92495	0.59614	1.10246	0.68215	11.96182
ENSGGOG00000011840	5.63749	5.74307	7.41347	7.0409	1.62625	1.45658	5.12889	4.87435	3.46491	3.49679	42.40363
ENSGGOG00000011841	9.61882	14.04421	11.63264	8.21574	3.8821	1.57993	4.82111	3.55881	2.44017	2.78308	9.63837
ENSGGOG00000011842	8.3826	8.515	5.75735	4.06605	5.32628	2.7348	21.52886	15.43515	6.76305	7.92068	22.01341
ENSGGOG00000011843	0	0.22839	0	0	0	0	0	0.40226	1.38066	1.17275	0.23722
ENSGGOG00000011844	2.21342	1.59656	1.40455	0	0.7297	0.11824	0.49688	0.41664	0.09747	0.16564	0.36854
ENSGGOG00000011845	0.35522	0.59787	0.37868	0.26974	0	0	0.11164	0.1404	0.06571	0.55812	0.62097
ENSGGOG00000011846	1.45234	3.03899	0.73226	3.20419	0.72468	0.17614	4.441	5.31369	0.18154	0.15421	35.61295
ENSGGOG00000011847	0.39526	0.24189	0.09576	0.20469	0.0415	0.04035	0.45169	0.51485	0.3822	0.52228	12.37469
ENSGGOG00000011848	14.99076	13.32299	26.79043	15.82502	15.03436	7.78171	21.90577	25.19593	27.21364	34.0682	19.47104
ENSGGOG00000011849	114.87961	200.13796	42.02894	28.29588	21.16935	9.43618	14.4582	13.05552	6.26364	7.8216	10.61564
ENSGGOG00000011850	0.19518	0.17518	0.38149	0.3211	0.06009	0.01457	0.06132	0.10285	0.02408	0.02046	4.02606
ENSGGOG00000011851	6.36709	3.59521	11.22144	16.22033	3.41276	2.85777	11.87736	17.04809	13.07052	14.49112	14.21849
ENSGGOG00000011852	3.6353	2.42637	1.75397	2.22113	0.98841	1.21903	8.83147	4.87213	1.33343	3.02034	28.12299
ENSGGOG00000011854	89.39715	124.37968	41.80435	18.65545	0	0	0.05886	0	0	0.02943	0.06548
ENSGGOG00000011855	0.30973	0.43447	0.75663	0.68596	0	0.23168	0.16228	0.25507	0	0	26.53079
ENSGGOG00000011856	1.45363	1.93572	3.23543	4.36677	0.94001	0.89619	3.11255	2.98323	3.88585	5.79823	7.06486
ENSGGOG00000011857	0.52701	0.88702	0	0.50024	0	0	0	1.56228	0	0	0
ENSGGOG00000011858	1.17598	2.78165	1.69408	1.32739	0.3301	0.17835	2.74697	1.6959	1.11711	0.64925	8.94549
ENSGGOG00000011859	23.46488	18.55676	28.37715	23.82898	3.91301	3.13797	15.81016	13.0703	9.14255	8.7634	24.3875
ENSGGOG00000011860	2.17854	3.10868	6.18467	6.51821	0.57383	0.39859	100.02231	149.68159	53.13619	16.63253	0.49678
ENSGGOG00000011862	11.07245	13.51843	10.32068	5.66344	0.06621	0.06438	1.26211	0.28342	0	0.18033	0.50141
ENSGGOG00000011863	2.39989	2.52454	1.08267	0.73565	0.02887	0.01404	0.01966	0.01236	0	0.0884	0.98334
ENSGGOG00000011864	4.02172	2.73634	0.5701	6.17284	10.76215	13.01019	61.45025	54.79062	1913.20003	1754.7904	14.95867
ENSGGOG00000011865	0	0	0	0	0.51609	0	0.56226	0.26515	2.06853	11.38559	0.62549
ENSGGOG00000011866	7.27971	10.96277	7.40314	5.68254	1.71317	1.1017	5.94552	4.18826	10.67613	8.33475	6.78164
ENSGGOG00000011867	2.61806	3.17848	2.45923	2.36284	1.3371	0.38531	2.09081	1.65398	2.6995	2.9337	4.80189
ENSGGOG00000011868	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000011869	10.23774	11.26221	32.9914	24.30469	29.15964	16.71854	41.60419	16.33157	21.80684	26.16365	5.65378
ENSGGOG00000011872	5.06472	8.26212	3.4264	11.68566	2.96696	5.59563	5.63239	3.07976	3.81982	17.99849	15.52842
ENSGGOG00000011873	0	0	0	0	0	0.0431	0	0	0	0	127.97862
ENSGGOG00000011874	1.13954	4.18106	0.0607	0.25954	1.26226	2.30158	5.1572	4.25631	1.91831	8.34426	5.97621
ENSGGOG00000011875	7.81426	12.94551	16.55663	7.16299	4.07037	2.09188	8.29742	7.34656	4.10959	2.2453	4.78121
ENSGGOG00000011876	0.04793	0.08067	0.19151	0.27283	0	0	0.07532	0.09465	0	0	0.41882
ENSGGOG00000011877	2.84465	3.96972	3.28688	1.36714	0.18694	0.06057	0.45265	0.19569	0.51627	0.25462	2.36054
ENSGGOG00000011878	17.98966	26.06632	27.77806	61.65171	3.90697	3.27078	17.81304	19.81293	6.86291	13.53272	22.64734
ENSGGOG00000011879	3.23732	2.59938	5.2638	3.834	1.26799	0.53323	2.84696	2.87608	3.43397	2.75354	6.12668
ENSGGOG00000011880	10.25222	15.41571	14.2129	7.76828	2.53983	2.03894	8.05534	5.43024	2.93783	3.04096	8.03155
