Ensembl.Gene.ID Averaged.RPKM.brain Averaged.RPKM.heart Averaged.RPKM.kidney Averaged.RPKM.testis Averaged.RPKM.cerebellum Averaged.RPKM.liver Tau Mean Max
ENSGGOG00000000045 2.3743027350816 3.78480154688287 3.4605514500791 1.67708422268288 4.01475148955477 1.95000817897655 0.340096234191967 2.8769166038763 4.01475148955477
ENSGGOG00000000047 0 4.82359305609046 5.57765214363196 0 0 5.95623306943124 0.650744184168883 2.72624637819228 5.95623306943124
ENSGGOG00000000049 2.14398200299092 0.650869332436705 2.99376316459858 3.14553073298514 2.77057795257183 2.21393932898777 0.315019772745185 2.31977708576183 3.14553073298514
ENSGGOG00000000050 3.02038482441677 0.939818153656014 6.41600794117633 1.19448424301069 2.92793487677579 6.95601196746275 0.583133838559968 3.57577366774973 6.95601196746275
ENSGGOG00000000051 2.9526040303893 1.87457075416552 3.57859343600912 2.87848405483215 3.85995570979302 3.63184027167319 0.227136595934199 3.12934137614371 3.85995570979302
ENSGGOG00000000052 0.179912372696205 0 0.622257874619099 0 0.876392835166846 0.305817550810647 0.747148138673449 0.330730105548799 0.876392835166846
ENSGGOG00000000053 4.26594998356748 2.26909691211878 3.5460904902914 3.81329995613787 4.06340356807767 3.3571723308573 0.200690897776283 3.55250220684175 4.26594998356748
ENSGGOG00000000056 0.292447586690799 0 1.18157465473846 3.51626608349464 1.86289601953954 0.342189453276112 0.79073780954663 1.19922896628992 3.51626608349464
ENSGGOG00000000057 0 0 0.830495894287454 0 0 4.97873943798852 0.966638306558056 0.968205888712663 4.97873943798852
ENSGGOG00000000058 2.65585114965707 0 0 0.878301591791405 1.96538950921305 0 0.785854632600804 0.916590375110254 2.65585114965707
ENSGGOG00000000060 3.58344572686811 1.46459401264365 2.33776944341979 2.62520034042255 3.92023581131292 1.72195168588365 0.401415538556173 2.60886617009178 3.92023581131292
ENSGGOG00000000061 1.79802489696278 0 1.66279399637071 4.11357799155414 2.42992515982596 1.34866912163311 0.648023536218043 1.89216519439112 4.11357799155414
ENSGGOG00000000062 4.30131518369513 1.76049824404846 3.69541353567906 5.72045386570876 4.1137192620747 2.31878685313539 0.433970329673244 3.65169782405692 5.72045386570876
ENSGGOG00000000063 2.26890461213501 0.0636977810517086 2.91398075642461 2.21113371127608 4.25605723498174 1.92429110281352 0.559122096075798 2.27301086644711 4.25605723498174
