Ensembl.Gene.ID	brain_GSM752557	brain_GSM752558	cerebellum_GSM752559	cerebellum_GSM752560	heart_GSM752561	heart_GSM752562	kidney_GSM752563	kidney_GSM752564	liver_GSM752565	liver_GSM752566	testis_GSM752567	testis_GSM752568
ENSGALG00000014083	20.1633	25.34615	31.28929	27.73447	33.39581	21.94393	24.78003	31.01141	20.32123	8.22021	24.81085	61.34445
ENSGALG00000014084	19.86559	22.10952	20.4596	19.69901	9.32157	6.97931	10.08785	9.10849	8.5508	3.46267	11.32222	32.65246
ENSGALG00000014085	3.27821	2.65297	5.0687	4.14208	2.81622	2.04885	1.99081	2.82063	1.6272	1.22547	4.34808	3.99055
ENSGALG00000014089	31.09272	26.74787	30.05964	26.40589	18.95892	17.57813	31.9143	25.00123	18.32653	13.04678	89.34004	87.62909
ENSGALG00000014094	11.43742	10.10646	11.09149	11.87003	3.45271	4.55501	6.09627	5.85424	3.73116	1.91304	4.28684	9.46386
ENSGALG00000014096	6.95198	9.85629	5.95901	7.61277	3.10922	2.15559	2.93642	2.35758	2.15194	0.49441	6.59746	15.49887
ENSGALG00000014100	1.18605	0	0.49546	0.38083	0	0	0	0	0	0	0.30359	0.10471
ENSGALG00000014103	8.24737	8.11015	8.36852	8.2295	9.745	6.6631	4.3915	6.02955	3.02705	1.05252	3.93092	4.8344
ENSGALG00000014106	141.02694	170.89555	20.94532	28.91911	48.09003	47.22952	31.06551	31.02643	20.6223	7.91597	15.14096	24.66062
ENSGALG00000014107	0.15066	0	0.18882	0	0.24922	0	0.67473	0	0.16301	0	0.23147	0
ENSGALG00000014108	4.36608	3.48467	0	0.0678	0	0.24797	0.35034	0.09921	0.05075	0	14.60051	4.86671
ENSGALG00000014115	8.42199	8.47526	12.0764	10.85031	11.99117	14.67715	5.0123	8.2669	3.223	2.83297	16.66405	15.41167
ENSGALG00000014116	171.11234	182.12397	128.10775	159.52857	3.14139	3.29868	13.78609	9.02339	6.27669	5.69782	21.33991	16.64932
ENSGALG00000014117	12.13026	15.70316	0.36189	0.64915	0	0.11298	0.28731	0.13569	0	0.19791	1.25678	0.30592
ENSGALG00000014118	28.93709	30.30513	21.46281	29.75196	35.41916	51.36583	38.19214	42.54008	23.20976	35.13169	68.88414	48.92758
ENSGALG00000014121	156.60332	169.86384	157.26044	140.80756	732.53608	850.99155	251.54296	386.26898	234.11183	245.67138	157.97199	132.01362
ENSGALG00000014122	56.30421	72.1969	52.71472	53.72885	48.22853	45.27253	32.50332	34.57353	10.93517	7.04896	10.50517	11.46933
ENSGALG00000014124	2.2342	1.9889	0.68001	0.46114	3.65967	3.85886	10.89246	8.77362	1.40399	0.78747	2.2058	3.04241
ENSGALG00000014126	0.20412	0	0.34107	0	0.82514	0.23959	0.47387	0.67138	1.76626	0.37305	0.62696	1.08093
ENSGALG00000014127	0.13363	0.49	0.16747	0.19313	0.73686	0.9415	1.46302	2.26136	0.53019	0.13741	0.25665	0.58402
ENSGALG00000014128	6.58006	6.39523	1.87416	1.72867	12.09083	7.8407	1.48792	2.67023	0.3595	0.0683	0	0.396
ENSGALG00000014136	0	0	0	0	0	0	0	0	0	0	0.12657	0
ENSGALG00000014138	8.29337	7.49174	8.22601	6.62576	1.77672	1.93774	3.67599	3.43527	1.78569	1.13141	5.46292	5.43255
ENSGALG00000014139	25.20264	25.36645	29.92033	29.19534	23.42625	19.8837	50.64995	40.3116	16.66347	12.86368	75.71242	94.96454
ENSGALG00000014140	5.38251	5.56275	5.57897	5.22387	5.53265	3.75287	12.40188	15.80268	15.35093	5.74146	10.78364	29.6398
ENSGALG00000014141	0.22296	1.02177	0.13971	0.10739	0.12291	0.13086	0.22184	0.15715	0	0.15281	1.28425	1.15138
ENSGALG00000014142	22.79084	22.24572	27.79183	23.73011	11.12364	10.21988	14.21694	18.26577	12.44643	7.93283	17.14702	20.42276
ENSGALG00000014144	0.77973	1.24248	0	0.06534	15.73442	15.75713	1.31534	1.19462	0.02442	0	10.64662	11.47119
ENSGALG00000014147	1.38793	1.33244	2.23645	1.65534	1.67599	0.931	3.74834	4.19266	2.33546	2.44613	5.48131	3.72759
ENSGALG00000014148	0	0	0	0	0	0	1.58517	0.18717	0	0.091	3.3643	1.58189
ENSGALG00000014150	0.05654	0.05171	0.03536	0.08164	12.05057	8.61959	2.13563	1.075	0.61105	0.92912	0.56392	0.22439
ENSGALG00000014152	11.22904	10.50884	16.7672	13.9621	6.10223	4.06645	10.02344	6.5675	6.60441	2.31973	5.50388	15.49887
