Ensembl.Gene.ID	brain_GSM1064856	brain_GSM1064857	heart_GSM1064858	heart_GSM1064859	mesonephros_GSM1064860	mesonephros_GSM1064861	liver_GSM1064862	liver_GSM1064863	testis_GSM1064864	testis_GSM1196057	female gonad_GSM1064865	female gonad_GSM1196056
ENSXETG00000018634	5.42751	11.3319	5.25637	14.55493	15.25351	18.09345	60.80968	55.52021	8.26441	3.86137	1.5574	1.60945
ENSXETG00000018635	44.10096	41.08224	9.36895	5.72115	15.08266	10.71488	8.86513	13.08381	17.56737	13.81823	46.85623	16.48877
ENSXETG00000018638	14.17514	20.26396	17.50938	14.95506	10.4363	7.88573	7.72683	6.36422	14.10199	14.81416	61.4938	44.60007
ENSXETG00000018640	6.63154	5.19645	6.44077	5.90901	8.40181	6.96402	3.98875	2.6259	7.241	5.4888	17.40518	14.94771
ENSXETG00000018641	19.03167	20.6471	13.50438	10.45605	16.77976	17.17975	10.08196	10.01806	51.7828	47.33748	41.31578	35.52983
ENSXETG00000018642	1.96879	1.9037	0.64879	0.44133	1.31906	0.57469	0.74632	0.45176	0.89595	2.15134	5.50452	4.65983
ENSXETG00000018643	0.07497	0.1568	0.06794	0.19567	0.14101	0.32819	0.1293	0	13.29567	58.57175	0	0.15008
ENSXETG00000018646	9.30996	6.98619	0.88348	0.82716	1.58217	1.1738	0.29435	0.23069	3.29398	1.88883	0.4128	0.02443
ENSXETG00000018647	0	2.03975	0.33131	1.48464	11.8088	6.18919	11274.31374	1770.56857	6.06183	1.31171	0	0
ENSXETG00000018648	4.26078	5.27999	0.11401	0.24627	3.44663	3.41448	0.24414	0.13393	4.61892	27.11197	3.77021	10.21761
ENSXETG00000018649	0.49392	1.80857	19.00132	17.00006	21.88763	15.63597	26.5893	19.21567	16.87489	42.98552	0.28619	1.03862
ENSXETG00000018650	0	0	0	0	0	0	0	0	0	0.16827	0	0
ENSXETG00000018651	3.2609	1.88768	1.18206	1.21078	1.86122	1.71333	1.33158	0.78194	5.9376	8.2135	56.6454	44.45128
ENSXETG00000018652	8.3792	5.71351	2.54534	2.3356	5.0648	4.90541	3.95764	2.20075	8.59691	10.29601	25.28807	21.81221
ENSXETG00000018653	2.44568	2.21286	0.89853	1.23673	2.79855	2.46007	0.79833	0.50054	36.0147	24.93837	1.76771	0.66188
ENSXETG00000018654	18.84116	18.95794	15.46502	14.14058	17.02644	18.18056	11.80245	9.4284	141.4731	76.00798	143.01018	92.12163
ENSXETG00000018658	0	0	0	0.03138	0.23738	0.22094	44.33976	18.86646	0.43978	0.93114	0	0.07216
ENSXETG00000018660	5.01565	12.47572	2.59736	2.93959	2.93728	2.86836	1.6778	1.06578	10.56822	14.15842	28.05887	33.41449
ENSXETG00000018661	0.34087	0.48249	0.03633	0.05233	5.39556	3.56455	0.57084	0.60736	1.27979	6.25942	12.53047	22.62902
ENSXETG00000018663	0.27729	0.34812	0	0.14479	11.84429	11.02421	1.33964	1.1549	0.98901	0.59697	0	0
ENSXETG00000018665	17.26504	15.08741	10.99186	11.16129	17.39022	15.52552	8.88668	7.03141	13.75366	8.49568	80.91151	61.71495
ENSXETG00000018672	17.76563	10.017	0.10281	0.15798	0.19213	0.35765	0.05874	0.08592	3.44994	3.6146	0.42473	0.2499
ENSXETG00000018674	0.6288	0.98673	0	0.0391	4.58483	2.87113	0.54247	0.53142	5.33268	20.74033	19.87883	49.17939
ENSXETG00000018679	6.97655	7.1458	3.26358	4.00128	8.23911	6.91226	3.73729	2.5912	17.82334	26.64846	8.89637	16.04774
ENSXETG00000018681	2.05558	2.23833	2.09097	1.56985	3.23645	2.31438	3.22101	1.46927	2.91372	2.43848	0.11219	1.09222
ENSXETG00000018682	26.40867	17.56906	16.53201	8.76868	14.18901	10.38072	10.05623	7.35589	26.76491	41.47025	46.96607	68.51761
ENSXETG00000018683	7.20704	7.18471	0.14196	0.13632	1.40036	1.34914	1.667	1.03811	0.63725	0.39352	2.07172	7.08598
ENSXETG00000018684	65.02673	66.81161	26.35115	26.16933	17.44554	14.497	9.33341	7.41851	40.75113	33.89738	17.46617	19.59119
ENSXETG00000018685	2.31138	2.18559	0.72506	0.88968	3.34556	2.21866	0.42179	0.33659	3.08728	6.26781	3.88316	6.05328
ENSXETG00000018688	1.19274	3.09643	0.48038	0.51897	2.05734	4.11985	0.78127	0.33451	0.14511	0.30907	0	0.35387
ENSXETG00000018689	120.94933	109.03874	51.37605	43.71089	69.3953	58.3912	47.23862	33.42355	213.00138	67.51747	326.66385	102.91668
ENSXETG00000018690	29.52025	27.89302	32.45145	34.82595	42.39411	39.7774	21.65599	19.53049	67.41487	60.75474	63.10175	111.68278
ENSXETG00000018692	22.52053	21.68752	2.11473	2.80439	6.67938	3.93557	2.58833	1.8933	7.92657	10.77838	15.98129	19.85561
ENSXETG00000018694	17.80276	16.43997	0.64626	0.42113	1.34186	0.73601	4.74596	3.01351	0.50202	0.87729	6.65229	19.15289
ENSXETG00000018696	0.45034	0.21594	0.79923	0.60417	1.35931	0.77229	3.90117	1.65178	3.89214	6.26121	0.48509	4.41541
ENSXETG00000018700	18.56897	13.59423	2.74891	2.92514	6.5948	5.2049	2.82903	2.40564	11.34978	15.04606	5.40809	6.64951
ENSXETG00000018705	24.36988	8.07676	0.96939	0.60707	1.55336	0.75342	0.94289	0.96847	1.9643	3.2039	2.19733	7.17181
ENSXETG00000018707	3.14144	3.26458	0.26571	0.30983	24.25542	16.89071	10.84042	4.34141	41.9475	26.71359	6.66494	5.59927
ENSXETG00000018708	3.22818	3.33306	3.34613	3.21322	4.06943	2.58671	2.42087	2.99576	13.72375	15.0349	2.27584	1.28879
ENSXETG00000018709	0	0	0	0	34.9567	56.92853	17.74596	12.66273	0.344	0.69039	0	0
ENSXETG00000018712	0	0	0	0.06327	13.92792	14.10931	5.28824	2.4998	0.13644	0.44339	10.92881	14.94502
ENSXETG00000018713	0.61462	0.67808	4.98248	0.65155	0.01052	0	0.01929	0	6.20922	1.263	0	0.07835
ENSXETG00000018714	19.70443	13.39931	3.49024	2.57215	4.5504	3.52945	1.69991	1.1869	7.64996	8.86965	35.68953	38.65473
ENSXETG00000018715	0.9284	1.56896	0.16178	1.24295	0.23515	1.50091	0.6777	4.49529	0.70378	0.61496	0.03181	0
